ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,POB20,EDU28,EDU31,P15mas.con.primaria.incompleta,P15mas.con.secundaria.completa,P15mas.con.secundaria.incompleta,P15mas.con.primaria.completa,P18mas.con.post,VIV2,VIV5_R,VIV6.complemento,VIV6,VIV14,VIV15,VIV16,VIV17,VIV19,VIV26
7,Chiapas,65,Palenque,772,Agua Escondida,29,3,3,9,3,1,3,10,6,3.08,5,1,6,0,0,6,6,4
7,Chiapas,32,Escuintla,107,Agua Escondida (El Crucero),74,18,18,29,3,4,16,3,24,1.85,23,1,22,2,19,4,21,8
7,Chiapas,4,Altamirano,294,Agua Escondida (Rancho Alegre),45,22,19,22,1,0,3,0,15,2.29,14,1,14,1,15,0,15,0
7,Chiapas,4,Altamirano,291,Agua Escondida el Ocotal,96,27,25,21,12,11,20,5,31,1.36,31,0,29,2,15,16,31,6
7,Chiapas,4,Altamirano,293,Agua Escondida la Florida,68,23,23,22,2,1,19,1,24,2.52,23,1,24,0,21,2,24,2
7,Chiapas,4,Altamirano,292,Agua Escondida las Esperanzas,105,54,54,13,4,9,23,2,32,1.38,24,8,27,5,24,8,32,3
2,Baja California,3,Tecate,291,Agua Fría,21,1,1,1,4,0,2,8,9,1,6,0,6,0,6,0,6,5
6,Colima,8,Minatitlán,2,Agua Fría,13,2,2,5,1,1,4,0,7,1,7,0,6,1,6,1,7,6
7,Chiapas,9,Arriaga,3,Agua Fría,108,15,13,29,15,7,21,20,39,1.6,35,4,35,4,0,39,32,29
7,Chiapas,16,Catazajá,2,Agua Fría,427,89,75,120,74,30,59,58,124,1.94,122,2,117,7,113,11,111,84
7,Chiapas,63,Osumacinta,2,Agua Fría,8,1,1,2,3,0,0,2,4,0.92,4,0,4,0,4,0,4,3
7,Chiapas,65,Palenque,1279,Agua Fría 2da. Sección,76,17,23,25,9,5,9,2,30,1.17,22,8,30,0,23,7,26,16
7,Chiapas,52,Las Margaritas,844,Agua Limpia,20,15,16,0,0,0,4,0,7,2.13,1,6,5,2,0,7,7,0
5,Coahuila de Zaragoza,32,San Juan de Sabinas,2,Agua Linda,4,0,0,2,0,0,2,0,3,0.57,3,0,1,2,3,0,3,1
5,Coahuila de Zaragoza,32,San Juan de Sabinas,46,Agua Linda (Los Conchos),5,0,0,5,0,0,0,0,3,0.86,3,0,0,3,2,0,3,0
7,Chiapas,52,Las Margaritas,483,Agua María,26,5,7,8,2,1,6,0,10,1.33,6,4,0,10,0,10,10,0
5,Coahuila de Zaragoza,30,Saltillo,73,Agua Nueva,984,82,74,182,334,40,221,106,378,1.23,375,1,371,5,359,17,359,317
7,Chiapas,57,Motozintla,2,Agua Prieta,356,54,43,130,56,19,67,29,110,1.77,101,8,109,0,94,15,107,45
6,Colima,8,Minatitlán,3,Agua Salada,206,26,23,60,43,15,32,22,73,1.32,62,11,73,0,73,0,67,60
7,Chiapas,65,Palenque,1034,Agua Santa II,6,0,0,3,0,0,1,2,3,1.25,3,0,3,0,1,2,3,2
7,Chiapas,69,Pijijiapan,506,Agua Tendida,48,10,11,17,3,5,5,4,21,1.42,15,6,21,0,20,1,18,17
7,Chiapas,52,Las Margaritas,449,Agua Velasco,47,26,25,6,1,0,15,0,15,2.56,0,15,1,14,0,15,15,0
3,Baja California Sur,8,Los Cabos,630,Agua Verde,12,0,0,2,3,1,2,4,3,1.45,3,0,3,0,3,0,3,3
3,Baja California Sur,9,Loreto,216,Agua Verde,19,3,2,9,4,1,1,2,6,1.79,4,2,3,3,4,2,6,0
7,Chiapas,31,Chilón,519,Agua Verde,38,12,8,11,9,3,4,3,11,2.69,2,9,11,0,1,10,4,0
2,Baja California,1,Ensenada,1128,Agua Viva,12,0,0,0,1,0,4,7,8,0.54,8,0,8,0,8,0,8,8
6,Colima,4,Coquimatlán,2,Agua Zarca,226,30,27,57,44,11,62,20,85,1.25,79,6,80,5,81,4,84,67
7,Chiapas,34,Frontera Comalapa,125,Agua Zarca,955,139,113,309,142,61,240,72,309,1.41,266,43,307,2,267,39,303,211
2,Baja California,1,Ensenada,1115,Aguacaliente,9,1,1,0,0,0,0,7,3,0.77,3,0,3,0,0,3,3,3
7,Chiapas,70,El Porvenir,14,Aguacatales,126,9,10,26,34,10,37,6,35,2.15,31,4,34,0,1,34,34,17
7,Chiapas,6,Amatenango de la Frontera,2,Aguacatillo,284,90,83,63,34,20,66,17,96,1.77,76,20,92,4,85,11,95,54
2,Baja California,5,Playas de Rosarito,91,Aguaje de la Cabaña,10,0,0,2,4,0,1,3,4,0.83,4,0,4,0,3,1,4,4
2,Baja California,5,Playas de Rosarito,272,Aguaje de Mariano,28,2,3,4,9,2,8,2,9,1.23,8,1,9,0,2,7,9,8
2,Baja California,4,Tijuana,672,Aguaje del Corral,9,2,1,3,0,3,0,0,4,0.69,4,0,4,0,0,4,4,2
4,Campeche,11,Candelaria,15,Aguas Malas (Tres Cruces),37,15,17,11,1,1,7,0,17,1.89,16,1,16,1,15,1,13,10
1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,507124,11445,15547,37295,119433,22893,72570,216840,184123,0.87,181773,1952,183634,291,182631,1088,183551,173467
7,Chiapas,15,Cacahoatán,4,Agustín de Iturbide,1475,253,244,303,302,77,201,299,501,1.36,430,71,498,3,482,19,484,296
7,Chiapas,21,Copainalá,12,Agustín de Iturbide,287,119,120,46,41,11,36,29,112,1.69,104,8,109,3,111,1,73,42
7,Chiapas,39,Huitiupán,63,Agustín Rubio (Río Toro),160,76,71,36,1,2,46,3,59,2.32,41,18,58,1,57,2,57,7
4,Campeche,4,Champotón,115,Ah-Kim-Pech,114,24,18,21,37,9,14,15,42,1.33,41,1,36,6,37,5,36,25
7,Chiapas,15,Cacahoatán,5,Ahuacatlán,1122,167,150,188,268,43,186,234,391,1.32,368,22,386,3,373,16,377,245
2,Baja California,1,Ensenada,4490,Aislado el Salitral,23,1,0,2,8,4,4,3,10,1.44,9,0,2,7,0,9,8,0
7,Chiapas,19,Comitán de Domínguez,4,Ajayaxh,130,17,17,36,34,4,28,10,43,1.18,37,5,42,0,40,2,40,17
7,Chiapas,19,Comitán de Domínguez,159,Ajayaxh,156,32,30,52,21,5,48,0,57,1.34,51,6,55,2,0,57,53,17
7,Chiapas,13,Bochil,6,Ajiló,713,107,85,133,135,68,159,113,227,1.95,168,56,224,0,224,0,221,56
7,Chiapas,23,Chamula,177,Ajtetic,41,22,21,6,0,0,14,0,18,1.54,11,7,17,1,0,18,15,1
7,Chiapas,26,Chenalhó,3,Ajtic,29,10,9,1,5,4,10,0,11,2.19,0,11,11,0,10,1,6,0
7,Chiapas,49,Larráinzar,62,Ajtic Carrizal,45,14,12,11,4,2,14,2,17,2.05,14,3,16,1,3,14,15,0
7,Chiapas,31,Chilón,2,Akteljá,66,25,23,17,3,3,20,0,22,2.52,12,10,13,8,20,2,5,0
7,Chiapas,59,Ocosingo,1664,Alacté Buenavista Uno,70,32,30,8,5,4,21,1,23,2.11,20,3,17,6,0,23,23,0
7,Chiapas,38,Huixtán,101,Alaj Cham,31,5,3,7,11,0,10,0,9,2.86,0,9,8,1,9,0,9,0
