NOM_ENT,NOM_LOC,P15.sesc,P15cpri.inc,P15cpri.com,P15csec.inc,P15csec.com,P18.c.post,VIV5_R,VIV6.complemento,VIV6,CVEGEO
Nuevo León,La Hoya de los Nogales,1,10,7,1,5,3,1.16,9,1,190070243
Nuevo León,La Palmita,3,0,2,0,0,1,1.25,3,0,190070246
Nuevo León,Vista Hermosa,2,1,2,0,2,0,1.14,1,2,190070251
Nuevo León,Fraccionamiento del Río (Fracción del Río),6,10,17,0,11,0,2.03,13,4,190070254
Nuevo León,Callejón de los Vázquez,17,17,10,3,10,6,1.6,16,8,190070264
Nuevo León,Aramberri (Brownsville),0,4,3,0,3,2,1.3,6,0,190070265
Nuevo León,Aramberri,0,7,7,1,2,0,2.25,1,5,190070266
Nuevo León,El Pinalito,2,7,9,1,2,0,1.27,9,1,190070274
Nuevo León,Agua de Enmedio (Los Pocitos),7,11,6,0,1,0,1.19,8,1,190070277
Nuevo León,San Rafael de los Cortez,1,6,3,3,5,1,1.79,4,1,190070293
Nuevo León,Puerto Piñones,8,16,22,1,5,1,1.62,18,2,190070303
Nuevo León,Aramberri,0,2,3,0,2,1,2.14,3,1,190070304
Nuevo León,San Rafael de los Cortez (La Cuesta),7,26,13,1,6,2,1.3,18,2,190070310
Nuevo León,El Cuervo Dos,1,4,2,1,0,1,1.5,1,3,190070314
Nuevo León,Jesús María,2,5,3,3,0,1,1.78,1,2,190070322
Nuevo León,Duraznillos,3,1,0,1,3,0,1.11,4,0,190070333
Nuevo León,Cañón de Vacas (Cañón de Arriba),3,10,5,0,0,0,1.76,7,1,190070341
Nuevo León,Total del Municipio,132,369,597,106,719,649,0.97,1090,18,190080000
Nuevo León,Bustamante,121,349,574,103,696,637,0.97,1048,16,190080001
Nuevo León,Francisco Villa (La Becerra),4,3,5,1,4,1,0.91,7,0,190080063
Nuevo León,San Isidro,1,3,1,0,2,0,1.8,3,0,190080089
Nuevo León,Total del Municipio,1957,7415,10895,2756,17529,17707,0.94,23092,422,190090000
Nuevo León,Cadereyta Jiménez,1296,4101,7584,2079,13786,16187,0.91,18166,261,190090001
Nuevo León,Las Abras de Abajo,0,9,7,0,12,2,1.26,13,0,190090002
Nuevo León,Las Abras de Arriba,0,15,6,4,13,4,1.33,17,0,190090003
Nuevo León,Las Adjuntas (Rancho Viejo),2,35,31,8,34,11,1.25,49,5,190090004
Nuevo León,El Alamito,0,23,19,3,38,12,1.13,39,0,190090005
Nuevo León,Atongo de Abajo,15,149,144,15,116,155,0.78,255,4,190090011
Nuevo León,Atongo de Arriba,4,36,17,1,15,4,0.92,30,1,190090012
Nuevo León,El Barco,7,68,43,7,27,4,1.02,69,1,190090013
Nuevo León,El Barranquito,4,76,92,14,39,12,1.13,102,2,190090014
Nuevo León,El Barranquito,5,27,18,8,39,19,0.92,49,0,190090015
Nuevo León,Las Barretas,1,9,8,1,7,1,1.02,13,0,190090016
Nuevo León,La Boquilla,1,23,13,1,11,1,0.97,22,0,190090018
Nuevo León,Casas Viejas (La Florida),7,32,30,3,30,10,1.04,45,3,190090023
Nuevo León,Casas Viejas,3,5,5,0,5,0,1.44,4,2,190090024
Nuevo León,El Castillo,6,34,29,6,26,9,0.81,50,1,190090025
Nuevo León,El Castillo,1,9,5,2,6,2,1.03,9,3,190090026
Nuevo León,La Ceja,5,10,15,2,10,4,0.88,23,1,190090027
Nuevo León,Los Cerritos,6,45,42,10,35,9,1.37,60,0,190090031
Nuevo León,Cieneguita del Río,3,8,20,1,9,2,1.24,16,0,190090033
Nuevo León,La Cruz,4,10,7,0,5,1,0.97,12,0,190090038
Nuevo León,El Chapotal,1,8,3,0,0,0,0.8,7,0,190090040
Nuevo León,Chihuahua,3,24,12,4,13,7,1.16,25,2,190090041
Nuevo León,La Chueca,2,27,35,4,32,9,0.99,47,0,190090042
Nuevo León,Dolores,7,17,12,2,13,11,1.13,23,2,190090044
Nuevo León,La Esperanza,5,47,60,4,53,8,1.1,71,1,190090048
Nuevo León,La Esperanza,1,14,8,1,14,4,1.19,21,0,190090049
Nuevo León,General Treviño (Escondida),2,17,11,4,3,5,1,18,2,190090055
Nuevo León,La Haciendita,17,72,41,10,104,35,1.21,109,4,190090058
Nuevo León,Lajitas de Abajo (Las Lajitas),3,6,4,1,8,4,0.88,12,0,190090065
Nuevo León,La Leona,0,3,3,1,1,0,1.67,2,0,190090066
Nuevo León,El Matorral,2,4,5,0,10,0,1.12,10,0,190090067
Nuevo León,Mexiquito,3,13,9,0,8,1,0.88,13,1,190090069
Nuevo León,Molino Viejo,5,1,7,0,7,4,0.94,8,0,190090071
Nuevo León,El Nogalito,1,5,4,1,5,0,1.63,7,0,190090076
Nuevo León,El Nogal,2,43,25,0,40,32,0.93,52,0,190090077
Nuevo León,Las Palmas,2,21,7,1,6,4,0.93,14,1,190090083
Nuevo León,Palmitos,17,111,109,28,134,71,0.92,197,5,190090084
Nuevo León,Palmitos (Hacienda Palmitos),15,102,94,19,96,34,1.01,144,3,190090085
Nuevo León,Los Potreros,0,4,1,0,4,0,3.4,4,0,190090091
Nuevo León,La Presa (La Presita),4,30,9,3,13,3,1.17,20,2,190090093
Nuevo León,La Purísima,6,38,26,3,47,11,1.01,55,0,190090097
Nuevo León,Rancho Viejo,13,48,50,12,79,21,1.2,84,2,190090100
Nuevo León,El Refugio (El Nopalito),7,28,20,3,21,10,0.98,41,0,190090102
Nuevo León,El Refugio,8,70,37,2,60,33,0.86,93,0,190090103
Nuevo León,Los Rodríguez,3,2,0,0,2,1,0.91,4,0,190090106
Nuevo León,Sabarado (Trancas y Sabarado),1,13,5,2,4,1,2.17,8,1,190090108
Nuevo León,Salitrillo,1,8,5,1,3,2,0.94,9,0,190090110
Nuevo León,San Bartolo (Puerto Rico),3,34,47,10,44,6,1.18,57,1,190090114
Nuevo León,San Bartolo,5,33,27,1,25,10,0.99,46,0,190090115
Nuevo León,San Diego,1,4,2,0,6,4,1.5,6,0,190090116
Nuevo León,San Diego y Molino Viejo,8,13,24,6,19,16,1.31,37,0,190090117
Nuevo León,San Isidro,3,32,20,2,28,18,0.86,42,0,190090119
Nuevo León,San José,1,23,17,2,21,7,0.8,32,0,190090120
Nuevo León,San Juan,56,144,253,45,370,167,0.96,443,6,190090122
Nuevo León,San Juan (El Calvario),24,44,56,11,79,20,1.31,70,14,190090124
Nuevo León,San Juan de los Garza (San Juanito),2,24,32,3,41,9,1.26,42,4,190090125
Nuevo León,San Lorenzo,4,19,14,24,24,5,1.03,37,0,190090126
Nuevo León,San Lorenzo,13,66,41,8,47,17,1.08,81,0,190090127
Nuevo León,San Miguel (El Barranco Blanco),4,26,33,4,20,5,1.01,34,2,190090128
Nuevo León,San Miguelito,7,39,21,2,15,6,1,38,0,190090129
Nuevo León,San Miguelito,0,9,5,1,9,0,1.03,12,1,190090130
Nuevo León,San Rafael,0,33,35,5,12,1,1.34,33,2,190090132
Nuevo León,Santa Efigenia,4,31,22,2,11,15,0.84,36,0,190090136
Nuevo León,Santa Fe,12,37,34,2,9,7,1.26,35,3,190090137
Nuevo León,Santa Fe Chihuahua,2,10,13,6,8,4,1.23,17,0,190090138
Nuevo León,Santa Isabel,11,35,33,10,59,19,1.15,65,1,190090140
Nuevo León,Santa Isabel y Dolores,11,87,68,20,119,65,0.92,150,1,190090141
Nuevo León,Santa Rita,2,4,5,0,4,1,2,8,0,190090143
Nuevo León,El Saucito (El Sauz),0,8,6,1,3,1,1.33,10,0,190090144
Nuevo León,La Senda,1,3,4,1,9,1,1.19,9,0,190090145
Nuevo León,Soledad Herrera (Sabinos),2,4,11,3,9,2,1.19,10,2,190090149
Nuevo León,Soledad Herrera,14,38,41,8,85,8,1.42,71,3,190090150
Nuevo León,Tepehuaje,1,8,5,0,3,2,0.54,10,1,190090152
Nuevo León,Pueblo Nuevo (Tepehuaje),34,210,240,36,246,115,0.95,362,6,190090153
Nuevo León,Los Terreros,2,11,13,0,5,1,1.28,13,1,190090154
Nuevo León,El Tesoro,0,5,12,3,3,3,1.41,14,0,190090155
Nuevo León,Hacienda las Trancas,6,43,15,2,23,10,1.34,37,4,190090157
Nuevo León,Trancas y Sabarado,24,96,94,4,88,14,1.09,128,3,190090158
Nuevo León,La Trinidad,2,37,43,5,29,5,1.19,52,0,190090160
Nuevo León,Valle Hidalgo (El Quemado),12,72,69,11,64,15,1.15,110,6,190090161
Nuevo León,Vaqueros [Estación],7,26,27,4,37,3,1.36,39,7,190090162
Nuevo León,Villa Vieja,10,19,26,2,16,3,0.88,10,0,190090164
Nuevo León,La Unión,17,69,85,8,61,16,1.02,111,1,190090165
Nuevo León,La Unión,6,34,20,1,26,17,0.94,44,1,190090166
Nuevo León,Pedro C. Morales (San Pedro),5,6,8,1,10,5,1.5,5,9,190090177
